#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
KGZ,Kyrgyzstan,38406,Multidimensional poverty index (MPI),0.001426,2008-2019
KGZ,Kyrgyzstan,38506,"Population in multidimensional poverty, intensity of deprivation (%)",36.28123,2008-2019
KGZ,Kyrgyzstan,38606,"Population in multidimensional poverty, headcount (%)",0.3930311,2008-2019
KGZ,Kyrgyzstan,39006,"Population living below income poverty line, national poverty line (%)",22.4,2008-2019
KGZ,Kyrgyzstan,43606,"Internet users, total (% of population)",38,2018
KGZ,Kyrgyzstan,45806,Primary school teachers trained to teach (%),95.43013,2010-2019
KGZ,Kyrgyzstan,46006,Mobile phone subscriptions (per 100 people),122.57,2018
KGZ,Kyrgyzstan,46106,Primary school dropout rate (% of primary school cohort),1.86197,2008-2018
KGZ,Kyrgyzstan,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",24.98946,2010-2019
KGZ,Kyrgyzstan,52306,Research and development expenditure (% of GDP),0.10707,2014-2018
KGZ,Kyrgyzstan,52606,"Remittances, inflows (% of GDP)",28.50443,2014-2019
KGZ,Kyrgyzstan,53506,"Foreign direct investment, net inflows (% of GDP)",1.743691,2011-2019
KGZ,Kyrgyzstan,57806,"Mortality rate, female adult (per 1,000 people)",94.014,2014-2018
KGZ,Kyrgyzstan,57906,"Mortality rate, male adult (per 1,000 people)",210.663,2014-2018
KGZ,Kyrgyzstan,61006,"Homicide rate (per 100,000 people)",2.189077613,2013-2018
KGZ,Kyrgyzstan,63206,"Gross enrolment ratio, primary (% of primary school-age population)",107.56541,2014-2019
KGZ,Kyrgyzstan,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",95.05481,2014-2019
KGZ,Kyrgyzstan,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",41.26702,2014-2019
KGZ,Kyrgyzstan,65606,Gross fixed capital formation (% of GDP),31.46921306,2014-2019
KGZ,Kyrgyzstan,67106,"Income inequality, Gini coefficient",27.7,2010-2018
KGZ,Kyrgyzstan,97306,Natural resource depletion (% of GNI),9.190405,2015-2018
KGZ,Kyrgyzstan,98306,"Child malnutrition, stunting (moderate or severe) (% under age 5)",11.75342,2010-2019
KGZ,Kyrgyzstan,99106,Net official development assistance received (% of GNI),5.157162,2010-2018
KGZ,Kyrgyzstan,101006,Population in severe multidimensional poverty (%),0,2008-2019
KGZ,Kyrgyzstan,101406,"Literacy rate, adult (% ages 15 and older)",99.586,2008-2018
KGZ,Kyrgyzstan,102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",24.7767788,2008-2019
KGZ,Kyrgyzstan,111106,International inbound tourists (thousands),423,2011-2018
KGZ,Kyrgyzstan,111306,Private capital flows (% of GDP),-1.57226,2010-2019
KGZ,Kyrgyzstan,117806,Contribution of deprivation in education to the Multidimensional Poverty Index,17.853846,2008-2019
KGZ,Kyrgyzstan,117906,Contribution of deprivation in health to the Multidimensional Poverty Index,64.60405,2008-2019
KGZ,Kyrgyzstan,118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,17.542096,2008-2019
KGZ,Kyrgyzstan,123506,"Estimated gross national income per capita, female (2017 PPP $)",2971.455184,2019
KGZ,Kyrgyzstan,123606,"Estimated gross national income per capita, male (2017 PPP $)",6797.909178,2019
KGZ,Kyrgyzstan,123806,Old-age pension recipients (% of statutory pension age population),100,2014-2019
KGZ,Kyrgyzstan,128106,Mandatory paid maternity leave (days),126,2019
KGZ,Kyrgyzstan,128306,"Prison population (per 100,000 people)",177.1,2013-2018
KGZ,Kyrgyzstan,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",39.81791,2014-2019
KGZ,Kyrgyzstan,133206,Exports and imports (% of GDP),103.085,2010-2019
KGZ,Kyrgyzstan,135106,"Income inequality, quintile ratio",3.777778,2010-2017
KGZ,Kyrgyzstan,136906,"Human Development Index (HDI), female",0.67655394,2019
KGZ,Kyrgyzstan,137006,"Human Development Index (HDI), male",0.706742105,2019
KGZ,Kyrgyzstan,137906,Gender Development Index (GDI),0.957285458,2019
KGZ,Kyrgyzstan,142506,Population vulnerable to multidimensional poverty (%),5.238377,2008-2019
KGZ,Kyrgyzstan,147206,International student mobility (% of total tertiary enrolment),1.46935,2010-2017
KGZ,Kyrgyzstan,149206,Government expenditure on education (% of GDP),6.02619,2013-2018
KGZ,Kyrgyzstan,149406,Homeless people due to natural disaster (average annual per million people),82.97705207,2009/2019
KGZ,Kyrgyzstan,164206,"Forest area, change (%)",-24.76076555,1990/2016
KGZ,Kyrgyzstan,164406,Adjusted net savings (% of GNI),7.122602,2015-2018
KGZ,Kyrgyzstan,167106,"Population living below income poverty line, PPP $1.90 a day (%)",0.9,2008-2018
KGZ,Kyrgyzstan,167406,"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)",26.6,2005-2019
KGZ,Kyrgyzstan,167506,"Violence against women ever experienced, nonintimate partner (% of female population ages 15 and older)",0.1,2005-2019
KGZ,Kyrgyzstan,174206,"Total debt service (% of exports of goods, services and primary income)",31.26697,2015-2018
KGZ,Kyrgyzstan,174306,Fossil fuel energy consumption (% of total energy consumption),75.47622,2013-2015
KGZ,Kyrgyzstan,175206,"Antenatal care coverage, at least one visit (%)",99.8,2009-2019
KGZ,Kyrgyzstan,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",39.4,2009-2019
